gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,overall score
,1,1,,,72,72,74,72.66666666666667
,2,4,,,69,90,88,82.33333333333333
,1,3,,,90,95,93,92.66666666666667
,0,0,,,47,57,44,49.333333333333336
,2,4,,,76,78,75,76.33333333333333
,1,0,,,71,83,78,77.33333333333333
,1,4,,,88,95,92,91.66666666666667
,1,4,,,40,43,39,40.666666666666664
,3,2,,,64,64,67,65.0
,1,2,,,38,60,50,49.333333333333336
,2,0,,,58,54,52,54.666666666666664
,3,0,,,40,52,43,45.0
,1,2,,,65,81,73,73.0
,0,4,,,78,72,70,73.33333333333333
,0,3,,,50,53,58,53.666666666666664
,2,5,,,69,75,78,74.0
,2,2,,,88,89,86,87.66666666666667
,1,5,,,18,32,28,26.0
,2,3,,,46,42,46,44.666666666666664
,2,0,,,54,58,61,57.666666666666664
,3,2,,,66,69,63,66.0
,1,4,,,65,75,70,70.0
,3,4,,,44,54,53,50.333333333333336
,2,5,,,69,73,73,71.66666666666667
,3,1,,,74,71,80,75.0
,0,3,,,73,74,72,73.0
,1,4,,,69,54,55,59.333333333333336
,2,1,,,67,69,75,70.33333333333333
,2,2,,,70,70,65,68.33333333333333
,3,3,,,62,70,75,69.0
,3,4,,,69,74,74,72.33333333333333
,1,4,,,63,65,61,63.0
,4,3,,,56,72,65,64.33333333333333
,3,4,,,40,42,38,40.0
,4,4,,,97,87,82,88.66666666666667
,4,0,,,81,81,79,80.33333333333333
,3,0,,,74,81,83,79.33333333333333
,3,5,,,50,64,59,57.666666666666664
,3,0,,,75,90,88,84.33333333333333
,1,0,,,57,56,57,56.666666666666664
,2,0,,,55,61,54,56.666666666666664
,2,0,,,58,73,68,66.33333333333333
,1,0,,,53,58,65,58.666666666666664
,1,4,,,59,65,66,63.333333333333336
,4,0,,,50,56,54,53.333333333333336
,1,0,,,65,54,57,58.666666666666664
,0,0,,,55,65,62,60.666666666666664
,2,2,,,66,71,76,71.0
,3,0,,,57,74,76,69.0
,2,2,,,82,84,82,82.66666666666667
,4,4,,,53,55,48,52.0
,4,0,,,77,69,68,71.33333333333333
,2,4,,,53,44,42,46.333333333333336
,3,2,,,88,78,75,80.33333333333333
,2,5,,,71,84,87,80.66666666666667
,2,2,,,33,41,43,39.0
,4,0,,,82,85,86,84.33333333333333
,3,0,,,52,55,49,52.0
,3,4,,,58,59,58,58.333333333333336
,2,5,,,0,17,10,9.0
,4,1,,,79,74,72,75.0
,0,5,,,39,39,34,37.333333333333336
,0,0,,,62,61,55,59.333333333333336
,2,0,,,69,80,71,73.33333333333333
,3,5,,,59,58,59,58.666666666666664
,1,5,,,67,64,61,64.0
,3,5,,,45,37,37,39.666666666666664
,2,4,,,60,72,74,68.66666666666667
,1,0,,,61,58,56,58.333333333333336
,2,0,,,39,64,57,53.333333333333336
,3,4,,,58,63,73,64.66666666666667
,3,4,,,63,55,63,60.333333333333336
,0,0,,,41,51,48,46.666666666666664
,2,5,,,61,57,56,58.0
,2,5,,,49,49,41,46.333333333333336
,1,0,,,44,41,38,41.0
,4,5,,,30,26,22,26.0
,0,1,,,80,78,81,79.66666666666667
,3,5,,,61,74,72,69.0
,4,3,,,62,68,68,66.0
,1,0,,,47,49,50,48.666666666666664
,1,2,,,49,45,45,46.333333333333336
,0,4,,,50,47,54,50.333333333333336
,4,0,,,72,64,63,66.33333333333333
,3,2,,,42,39,34,38.333333333333336
,2,4,,,73,80,82,78.33333333333333
,2,4,,,76,83,88,82.33333333333333
,3,0,,,71,71,74,72.0
,0,4,,,58,70,67,65.0
,3,5,,,73,86,82,80.33333333333333
,2,1,,,65,72,74,70.33333333333333
,2,2,,,27,34,36,32.333333333333336
,2,2,,,71,79,71,73.66666666666667
,2,0,,,43,45,50,46.0
,1,4,,,79,86,92,85.66666666666667
,2,0,,,78,81,82,80.33333333333333
,1,5,,,65,66,62,64.33333333333333
,4,4,,,63,72,70,68.33333333333333
,3,4,,,58,67,62,62.333333333333336
,3,1,,,65,67,62,64.66666666666667
,1,4,,,79,67,67,71.0
,3,1,,,68,74,74,72.0
,3,0,,,85,91,89,88.33333333333333
,1,2,,,60,44,47,50.333333333333336
,2,4,,,98,86,90,91.33333333333333
,2,4,,,58,67,72,65.66666666666667
,3,3,,,87,100,100,95.66666666666667
,4,0,,,66,63,64,64.33333333333333
,1,0,,,52,76,70,66.0
,1,5,,,70,64,72,68.66666666666667
,3,0,,,77,89,98,88.0
,2,2,,,62,55,49,55.333333333333336
,0,0,,,54,53,47,51.333333333333336
,3,4,,,51,58,54,54.333333333333336
,4,1,,,99,100,100,99.66666666666667
,2,2,,,84,77,74,78.33333333333333
,1,1,,,75,85,82,80.66666666666667
,3,1,,,78,82,79,79.66666666666667
,3,5,,,51,63,61,58.333333333333336
,2,4,,,55,69,65,63.0
,2,1,,,79,92,89,86.66666666666667
,1,0,,,91,89,92,90.66666666666667
,2,4,,,88,93,93,91.33333333333333
,3,2,,,63,57,56,58.666666666666664
,4,4,,,83,80,73,78.66666666666667
,1,2,,,87,95,86,89.33333333333333
,1,5,,,72,68,67,69.0
,3,4,,,65,77,74,72.0
,3,3,,,82,82,74,79.33333333333333
,0,1,,,51,49,51,50.333333333333336
,3,3,,,89,84,82,85.0
,2,5,,,53,37,40,43.333333333333336
,4,4,,,87,74,70,77.0
,2,4,,,75,81,84,80.0
,3,1,,,74,79,75,76.0
,2,1,,,58,55,48,53.666666666666664
,1,5,,,51,54,41,48.666666666666664
,4,2,,,70,55,56,60.333333333333336
,2,0,,,59,66,67,64.0
,3,4,,,71,61,69,67.0
,3,5,,,76,72,71,73.0
,2,4,,,59,62,64,61.666666666666664
,4,4,,,42,55,54,50.333333333333336
,0,2,,,57,43,47,49.0
,3,4,,,88,73,78,79.66666666666667
,2,4,,,22,39,33,31.333333333333332
,1,5,,,88,84,75,82.33333333333333
,2,0,,,73,68,66,69.0
,3,1,,,68,75,81,74.66666666666667
,4,0,,,100,100,93,97.66666666666667
,0,5,,,62,67,69,66.0
,0,1,,,77,67,68,70.66666666666667
,1,0,,,59,70,66,65.0
,3,1,,,54,49,47,50.0
,3,5,,,62,67,61,63.333333333333336
,2,4,,,70,89,88,82.33333333333333
,4,2,,,66,74,78,72.66666666666667
,1,4,,,60,60,60,60.0
,1,0,,,61,86,87,78.0
,3,0,,,66,62,64,64.0
,1,0,,,82,78,74,78.0
,4,4,,,75,88,85,82.66666666666667
,1,3,,,49,53,52,51.333333333333336
,2,2,,,52,53,49,51.333333333333336
,4,3,,,81,92,91,88.0
,2,1,,,96,100,100,98.66666666666667
,2,2,,,53,51,51,51.666666666666664
,1,3,,,58,76,78,70.66666666666667
,1,2,,,68,83,78,76.33333333333333
,2,4,,,67,75,70,70.66666666666667
,0,2,,,72,73,74,73.0
,4,5,,,94,88,78,86.66666666666667
,3,4,,,79,86,81,82.0
,2,0,,,63,67,70,66.66666666666667
,2,1,,,43,51,54,49.333333333333336
,2,3,,,81,91,87,86.33333333333333
,1,2,,,46,54,58,52.666666666666664
,2,0,,,71,77,77,75.0
,1,3,,,52,70,62,61.333333333333336
,3,5,,,97,100,100,99.0
,2,3,,,62,68,75,68.33333333333333
,2,4,,,46,64,66,58.666666666666664
,4,2,,,50,50,47,49.0
,3,0,,,65,69,70,68.0
,2,5,,,45,52,49,48.666666666666664
,2,0,,,65,67,65,65.66666666666667
,4,2,,,80,76,65,73.66666666666667
,3,5,,,62,66,68,65.33333333333333
,1,5,,,48,52,45,48.333333333333336
,2,1,,,77,88,87,84.0
,4,0,,,66,65,69,66.66666666666667
,3,4,,,76,83,79,79.33333333333333
,1,5,,,62,64,66,64.0
,3,4,,,77,62,62,67.0
,2,3,,,69,84,85,79.33333333333333
,3,0,,,61,55,52,56.0
,2,5,,,59,69,65,64.33333333333333
,4,2,,,55,56,51,54.0
,1,4,,,45,53,55,51.0
,1,1,,,78,79,76,77.66666666666667
,2,0,,,67,84,86,79.0
,3,4,,,65,81,77,74.33333333333333
,2,0,,,69,77,69,71.66666666666667
,1,0,,,57,69,68,64.66666666666667
,2,4,,,59,41,42,47.333333333333336
,3,5,,,74,71,78,74.33333333333333
,4,1,,,82,62,62,68.66666666666667
,4,2,,,81,80,76,79.0
,1,4,,,74,81,76,77.0
,1,4,,,58,61,66,61.666666666666664
,3,5,,,80,79,79,79.33333333333333
,2,4,,,35,28,27,30.0
,2,2,,,42,62,60,54.666666666666664
,2,0,,,60,51,56,55.666666666666664
,4,2,,,87,91,81,86.33333333333333
,1,5,,,84,83,75,80.66666666666667
,4,0,,,83,86,88,85.66666666666667
,2,2,,,34,42,39,38.333333333333336
,1,2,,,66,77,70,71.0
,1,5,,,61,56,56,57.666666666666664
,3,2,,,56,68,74,66.0
,1,0,,,87,85,73,81.66666666666667
,2,5,,,55,65,62,60.666666666666664
,3,5,,,86,80,75,80.33333333333333
,1,0,,,52,66,73,63.666666666666664
,4,3,,,45,56,54,51.666666666666664
,2,4,,,72,72,71,71.66666666666667
,3,2,,,57,50,54,53.666666666666664
,0,5,,,68,72,64,68.0
,2,4,,,88,95,94,92.33333333333333
,3,4,,,76,64,66,68.66666666666667
,2,0,,,46,43,42,43.666666666666664
,1,1,,,67,86,83,78.66666666666667
,4,5,,,92,87,78,85.66666666666667
,2,1,,,83,82,84,83.0
,3,0,,,80,75,77,77.33333333333333
,3,1,,,63,66,67,65.33333333333333
,3,5,,,64,60,74,66.0
,1,4,,,54,52,51,52.333333333333336
,2,0,,,84,80,80,81.33333333333333
,3,2,,,73,68,66,69.0
,4,1,,,80,83,83,82.0
,3,2,,,56,52,55,54.333333333333336
,4,4,,,59,51,43,51.0
,3,5,,,75,74,69,72.66666666666667
,2,0,,,85,76,71,77.33333333333333
,4,0,,,89,76,74,79.66666666666667
,1,2,,,58,70,68,65.33333333333333
,1,2,,,65,64,62,63.666666666666664
,2,2,,,68,60,53,60.333333333333336
,0,5,,,47,49,49,48.333333333333336
,3,4,,,71,83,83,79.0
,1,5,,,60,70,70,66.66666666666667
,3,3,,,80,80,72,77.33333333333333
,3,2,,,54,52,52,52.666666666666664
,4,4,,,62,73,70,68.33333333333333
,2,0,,,64,73,68,68.33333333333333
,2,0,,,78,77,77,77.33333333333333
,1,4,,,70,75,78,74.33333333333333
,2,3,,,65,81,81,75.66666666666667
,2,5,,,64,79,77,73.33333333333333
,2,4,,,79,79,78,78.66666666666667
,2,5,,,44,50,51,48.333333333333336
,4,2,,,99,93,90,94.0
,3,2,,,76,73,68,72.33333333333333
,3,5,,,59,42,41,47.333333333333336
,2,1,,,63,75,81,73.0
,3,2,,,69,72,77,72.66666666666667
,3,0,,,88,92,95,91.66666666666667
,4,4,,,71,76,70,72.33333333333333
,2,1,,,69,63,61,64.33333333333333
,2,4,,,58,49,42,49.666666666666664
,3,0,,,47,53,58,52.666666666666664
,3,4,,,65,70,71,68.66666666666667
,1,4,,,88,85,76,83.0
,2,1,,,83,78,73,78.0
,2,5,,,85,92,93,90.0
,4,2,,,59,63,75,65.66666666666667
,2,5,,,65,86,80,77.0
,1,1,,,73,56,57,62.0
,3,2,,,53,52,42,49.0
,3,2,,,45,48,46,46.333333333333336
,3,1,,,73,79,84,78.66666666666667
,3,4,,,70,78,78,75.33333333333333
,1,5,,,37,46,46,43.0
,1,0,,,81,82,82,81.66666666666667
,4,0,,,97,82,88,89.0
,1,5,,,67,89,82,79.33333333333333
,1,1,,,88,75,76,79.66666666666667
,4,5,,,77,76,77,76.66666666666667
,2,0,,,76,70,68,71.33333333333333
,3,5,,,86,73,70,76.33333333333333
,2,5,,,63,60,57,60.0
,4,1,,,65,73,75,71.0
,3,2,,,78,77,80,78.33333333333333
,1,0,,,67,62,60,63.0
,0,5,,,46,41,43,43.333333333333336
,4,0,,,71,74,68,71.0
,2,2,,,40,46,50,45.333333333333336
,3,0,,,90,87,75,84.0
,0,4,,,81,78,81,80.0
,3,5,,,56,54,52,54.0
,2,0,,,67,84,81,77.33333333333333
,1,0,,,80,76,64,73.33333333333333
,2,0,,,74,75,83,77.33333333333333
,0,4,,,69,67,69,68.33333333333333
,4,4,,,99,87,81,89.0
,2,5,,,51,52,44,49.0
,1,0,,,53,71,67,63.666666666666664
,3,2,,,49,57,52,52.666666666666664
,1,0,,,73,76,80,76.33333333333333
,1,1,,,66,60,57,61.0
,3,1,,,67,61,68,65.33333333333333
,2,0,,,68,67,69,68.0
,2,1,,,59,64,75,66.0
,2,2,,,71,66,65,67.33333333333333
,3,3,,,77,82,91,83.33333333333333
,2,0,,,83,72,78,77.66666666666667
,1,1,,,63,71,69,67.66666666666667
,3,0,,,56,65,63,61.333333333333336
,2,2,,,67,79,84,76.66666666666667
,4,2,,,75,86,79,80.0
,2,4,,,71,81,80,77.33333333333333
,2,5,,,43,53,53,49.666666666666664
,2,2,,,41,46,43,43.333333333333336
,2,4,,,82,90,94,88.66666666666667
,2,4,,,61,61,62,61.333333333333336
,0,4,,,28,23,19,23.333333333333332
,2,0,,,82,75,77,78.0
,1,5,,,41,55,51,49.0
,2,2,,,71,60,61,64.0
,2,0,,,47,37,35,39.666666666666664
,4,0,,,62,56,53,57.0
,1,0,,,90,78,81,83.0
,2,1,,,83,93,95,90.33333333333333
,1,4,,,61,68,66,65.0
,3,5,,,76,70,69,71.66666666666667
,2,0,,,49,51,43,47.666666666666664
,1,5,,,24,38,27,29.666666666666668
,3,5,,,35,55,60,50.0
,2,2,,,58,61,52,57.0
,2,2,,,61,73,63,65.66666666666667
,1,2,,,69,76,74,73.0
,3,0,,,67,72,67,68.66666666666667
,3,4,,,79,73,67,73.0
,2,2,,,72,80,75,75.66666666666667
,1,4,,,62,61,57,60.0
,2,1,,,77,94,95,88.66666666666667
,3,2,,,75,74,66,71.66666666666667
,4,0,,,87,74,76,79.0
,1,1,,,52,65,69,62.0
,4,4,,,66,57,52,58.333333333333336
,2,4,,,63,78,80,73.66666666666667
,2,0,,,46,58,57,53.666666666666664
,2,4,,,59,71,70,66.66666666666667
,1,1,,,61,72,70,67.66666666666667
,0,0,,,63,61,61,61.666666666666664
,2,4,,,42,66,69,59.0
,3,4,,,59,62,61,60.666666666666664
,3,4,,,80,90,89,86.33333333333333
,1,2,,,58,62,59,59.666666666666664
,1,5,,,85,84,78,82.33333333333333
,2,4,,,52,58,58,56.0
,3,5,,,27,34,32,31.0
,2,4,,,59,60,58,59.0
,0,1,,,49,58,60,55.666666666666664
,2,2,,,69,58,53,60.0
,2,1,,,61,66,61,62.666666666666664
,0,5,,,44,64,58,55.333333333333336
,3,5,,,73,84,85,80.66666666666667
,4,4,,,84,77,71,77.33333333333333
,2,4,,,45,73,70,62.666666666666664
,3,5,,,74,74,72,73.33333333333333
,3,4,,,82,97,96,91.66666666666667
,3,1,,,59,70,73,67.33333333333333
,4,0,,,46,43,41,43.333333333333336
,3,5,,,80,90,82,84.0
,3,3,,,85,95,100,93.33333333333333
,0,5,,,71,83,77,77.0
,0,1,,,66,64,62,64.0
,1,0,,,80,86,83,83.0
,2,0,,,87,100,95,94.0
,2,3,,,79,81,71,77.0
,4,5,,,38,49,45,44.0
,0,5,,,38,43,43,41.333333333333336
,4,4,,,67,76,75,72.66666666666667
,4,1,,,64,73,70,69.0
,2,0,,,57,78,67,67.33333333333333
,3,2,,,62,64,64,63.333333333333336
,3,3,,,73,70,75,72.66666666666667
,4,5,,,73,67,59,66.33333333333333
,3,4,,,77,68,77,74.0
,4,4,,,76,67,67,70.0
,2,0,,,57,54,56,55.666666666666664
,2,5,,,65,74,77,72.0
,0,2,,,48,45,41,44.666666666666664
,1,2,,,50,67,63,60.0
,2,0,,,85,89,95,89.66666666666667
,1,5,,,74,63,57,64.66666666666667
,3,5,,,60,59,54,57.666666666666664
,2,5,,,59,54,67,60.0
,0,4,,,53,43,43,46.333333333333336
,0,4,,,49,65,55,56.333333333333336
,3,2,,,88,99,100,95.66666666666667
,2,2,,,54,59,62,58.333333333333336
,2,5,,,63,73,68,68.0
,1,0,,,65,65,63,64.33333333333333
,1,0,,,82,80,77,79.66666666666667
,3,2,,,52,57,56,55.0
,3,0,,,87,84,85,85.33333333333333
,3,3,,,70,71,74,71.66666666666667
,4,4,,,84,83,78,81.66666666666667
,3,0,,,71,66,60,65.66666666666667
,1,5,,,63,67,67,65.66666666666667
,2,1,,,51,72,79,67.33333333333333
,4,2,,,84,73,69,75.33333333333333
,2,1,,,71,74,68,71.0
,2,0,,,74,73,67,71.33333333333333
,3,4,,,68,59,62,63.0
,4,2,,,57,56,54,55.666666666666664
,2,0,,,82,93,93,89.33333333333333
,3,2,,,57,58,64,59.666666666666664
,3,3,,,47,58,67,57.333333333333336
,0,5,,,59,85,80,74.66666666666667
,1,4,,,41,39,34,38.0
,2,4,,,62,67,62,63.666666666666664
,2,1,,,86,83,86,85.0
,2,5,,,69,71,65,68.33333333333333
,0,5,,,65,59,53,59.0
,2,5,,,68,63,54,61.666666666666664
,2,0,,,64,66,59,63.0
,2,2,,,61,72,70,67.66666666666667
,2,2,,,61,56,55,57.333333333333336
,0,5,,,47,59,50,52.0
,2,5,,,73,66,66,68.33333333333333
,2,4,,,50,48,53,50.333333333333336
,3,0,,,75,68,64,69.0
,3,0,,,75,66,73,71.33333333333333
,2,2,,,70,56,51,59.0
,3,5,,,89,88,82,86.33333333333333
,2,4,,,67,81,79,75.66666666666667
,3,2,,,78,81,80,79.66666666666667
,0,5,,,59,73,69,67.0
,1,0,,,73,83,76,77.33333333333333
,0,5,,,79,82,73,78.0
,2,5,,,67,74,77,72.66666666666667
,3,4,,,69,66,60,65.0
,2,2,,,86,81,80,82.33333333333333
,1,2,,,47,46,42,45.0
,1,0,,,81,73,72,75.33333333333333
,2,4,,,64,85,85,78.0
,4,4,,,100,92,97,96.33333333333333
,2,0,,,65,77,74,72.0
,2,4,,,65,58,49,57.333333333333336
,2,0,,,53,61,62,58.666666666666664
,2,1,,,37,56,47,46.666666666666664
,3,1,,,79,89,89,85.66666666666667
,3,0,,,53,54,48,51.666666666666664
,4,1,,,100,100,100,100.0
,1,2,,,72,65,68,68.33333333333333
,2,1,,,53,58,55,55.333333333333336
,1,4,,,54,54,45,51.0
,4,4,,,71,70,76,72.33333333333333
,2,4,,,77,90,91,86.0
,0,1,,,75,58,62,65.0
,2,4,,,84,87,91,87.33333333333333
,3,0,,,26,31,38,31.666666666666668
,0,2,,,72,67,65,68.0
,0,2,,,77,88,85,83.33333333333333
,2,4,,,91,74,76,80.33333333333333
,2,0,,,83,85,90,86.0
,2,2,,,63,69,74,68.66666666666667
,2,0,,,68,86,84,79.33333333333333
,3,5,,,59,67,61,62.333333333333336
,1,0,,,90,90,91,90.33333333333333
,3,1,,,71,76,83,76.66666666666667
,4,1,,,76,62,66,68.0
,3,0,,,80,68,72,73.33333333333333
,3,3,,,55,64,70,63.0
,4,0,,,76,71,67,71.33333333333333
,1,2,,,73,71,68,70.66666666666667
,3,0,,,52,59,56,55.666666666666664
,2,4,,,68,68,61,65.66666666666667
,0,2,,,59,52,46,52.333333333333336
,1,0,,,49,52,54,51.666666666666664
,2,2,,,70,74,71,71.66666666666667
,3,4,,,61,47,56,54.666666666666664
,2,0,,,60,75,74,69.66666666666667
,1,5,,,64,53,57,58.0
,0,0,,,79,82,82,81.0
,0,0,,,65,85,76,75.33333333333333
,2,0,,,64,64,70,66.0
,2,4,,,83,83,90,85.33333333333333
